geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.55,-46.64,sao paulo,SP
1046,-23.55,-46.64,sao paulo,SP
1041,-23.54,-46.64,sao paulo,SP
1035,-23.54,-46.64,sao paulo,SP
1012,-23.55,-46.64,são paulo,SP
1047,-23.55,-46.64,sao paulo,SP
1013,-23.55,-46.63,sao paulo,SP
1029,-23.54,-46.63,sao paulo,SP
1011,-23.55,-46.64,sao paulo,SP
1032,-23.54,-46.63,sao paulo,SP
1014,-23.55,-46.63,sao paulo,SP
1039,-23.54,-46.64,sao paulo,SP
1024,-23.54,-46.63,são paulo,SP
1009,-23.55,-46.64,sao paulo,SP
1020,-23.55,-46.63,são paulo,SP
1043,-23.55,-46.64,são paulo,SP
1050,-23.55,-46.65,sao paulo,SP
1045,-23.54,-46.64,sao paulo,SP
1007,-23.55,-46.64,sao paulo,SP
1005,-23.55,-46.64,sao paulo,SP
1017,-23.55,-46.63,são paulo,SP
1019,-23.55,-46.63,sao paulo,SP
1027,-23.54,-46.63,sao paulo,SP
1033,-23.54,-46.64,sao paulo,SP
1006,-23.55,-46.64,sao paulo,SP
1034,-23.54,-46.64,sao paulo,SP
1042,-23.54,-46.64,sao paulo,SP
1040,-23.54,-46.64,sao paulo,SP
1026,-23.54,-46.63,são paulo,SP
1036,-23.54,-46.64,sao paulo,SP
1048,-23.55,-46.64,são paulo,SP
1002,-23.55,-46.64,sao paulo,SP
1031,-23.54,-46.63,sao paulo,SP
1022,-23.54,-46.63,sao paulo,SP
1008,-23.54,-46.63,sao paulo,SP
1010,-23.55,-46.64,sao paulo,SP
1003,-23.55,-46.64,sao paulo,SP
1001,-23.55,-46.63,sao paulo,SP
1015,-23.54,-46.63,sao paulo,SP
1038,-23.54,-46.64,sao paulo,SP
1016,-23.55,-46.63,sao paulo,SP
1049,-23.55,-46.64,sao paulo,SP
1021,-23.55,-46.63,sao paulo,SP
1018,-23.55,-46.63,sao paulo,SP
1044,-23.55,-46.64,sao paulo,SP
1030,-23.54,-46.63,são paulo,SP
1025,-23.54,-46.63,sao paulo,SP
1004,-23.55,-46.64,sao paulo,SP
1023,-23.54,-46.63,sao paulo,SP
1028,-23.54,-46.63,sao paulo,SP
1155,-23.53,-46.66,sao paulo,SP
1122,-23.53,-46.64,são paulo,SP
1150,-23.53,-46.66,sao paulo,SP
1123,-23.53,-46.63,sao paulo,SP
1139,-23.52,-46.66,sao paulo,SP
1153,-23.53,-46.66,são paulo,SP
1104,-23.54,-46.62,sao paulo,SP
1136,-23.52,-46.67,são paulo,SP
1130,-23.53,-46.64,sao paulo,SP
1103,-23.54,-46.63,são paulo,SP
1156,-23.53,-46.66,são paulo,SP
1151,-23.53,-46.66,sao paulo,SP
1140,-23.52,-46.67,sao paulo,SP
1120,-23.53,-46.64,sao paulo,SP
1106,-23.53,-46.63,sao paulo,SP
1124,-23.53,-46.63,sao paulo,SP
1131,-23.52,-46.65,sao paulo,SP
1121,-23.52,-46.63,sao paulo,SP
1141,-23.52,-46.67,são paulo,SP
1125,-23.53,-46.64,sao paulo,SP
1102,-23.52,-46.63,são paulo,SP
1127,-23.53,-46.64,sao paulo,SP
1137,-23.52,-46.65,são paulo,SP
1135,-23.52,-46.65,sao paulo,SP
